country,pi,u_icer,ll_icer,ul_icer
Mozambique,0.11900000000000001,534.0869506876082,408.86765116056336,659.3062502146531
Mozambique,0.12000000000000001,529.6362260985449,405.4604207342253,653.8120314628644
Mozambique,0.12100000000000001,525.2590672051684,402.1095081661739,648.408626244163
Mozambique,0.12200000000000001,520.9536650149621,398.8135285910412,643.093801438883
Mozambique,0.12300000000000001,516.718269364434,395.5711421797322,637.8653965491359
Mozambique,0.12400000000000001,512.5511865469789,392.3810523234439,632.7213207705139
Mozambique,0.125,508.45077705460307,389.2420039048563,627.6595502043499
Mozambique,0.126,504.4154534271855,386.1527816516431,622.6781252027279
Mozambique,0.127,500.44367820334946,383.1122085677719,617.7751478389271
Mozambique,0.128,496.5339619673858,380.11914443833626,612.9487794964352
Mozambique,0.129,492.68486148701845,377.1724844039306,608.1972385701064
Mozambique,0.13,488.8949779371183,374.27115760082336,603.5187982734133
Mozambique,0.131,485.1629552047739,371.41412586341255,598.9117845461352
Mozambique,0.132,481.48747827140437,368.6003824856594,594.3745740571494
Mozambique,0.133,477.86727166786005,365.8289510383989,589.9055922973213
Mozambique,0.134,474.3010979986969,363.09888423960473,585.5033117577891
Mozambique,0.135,470.78775653203985,360.409262874867,581.1662501892127
Mozambique,0.136,467.3260818516572,357.7591947654929,576.8929689378215
Mozambique,0.137,463.91494256806845,355.14781378180317,572.6820713543337
Mozambique,0.138,460.5532400856912,352.5742788993263,568.5322012720561
Mozambique,0.139,457.23990742320416,350.03777329573404,564.4420415506743
Mozambique,0.14,453.973908084467,347.53750348647884,560.4103126824551
Mozambique,0.14100000000000001,450.75423497748494,345.07269849721297,556.4357714577569
Mozambique,0.14200000000000002,447.5799093790519,342.64260907117625,552.5172096869276
Mozambique,0.14300000000000002,444.4499799428348,340.24650690983935,548.6534529758302
Mozambique,0.14400000000000002,441.3635217487874,337.8836839451877,544.843359552387
Mozambique,0.14500000000000002,438.31963539189917,335.5534516421176,541.0858191416808
Mozambique,0.14600000000000002,435.31744610839297,333.25514032950014,537.3797518872858
Mozambique,0.14700000000000002,432.3561029375876,330.9880985585513,533.7241073166239
Mozambique,0.14800000000000002,429.434777917739,328.7516924872097,530.1178633482682
Mozambique,0.14900000000000002,426.5526653142643,326.54530528930894,526.5600253392197
Mozambique,0.15,423.7089808788359,324.3683365873803,523.0496251702915
Mozambique,0.151,420.90296113791646,322.22020190799367,519.5857203678393
Mozambique,0.152,418.1338627093775,320.100332158599,516.1673932601561
Mozambique,0.153,415.4009616459175,318.00817312488266,512.7937501669523
Mozambique,0.154,412.70355280406096,315.94318498770804,509.4639206204139
Mozambique,0.155,410.0409492375831,313.90484185875505,506.17705661641116
Mozambique,0.156,407.4124816142653,311.8926313340195,502.9323318945111
Mozambique,0.157,404.81749765493873,309.9060540643761,499.72894124550135
Mozambique,0.158,402.2553615938316,307.94462334244974,496.56609984521344
Mozambique,0.159,399.72545365927914,306.0078647050757,493.4430426134826
Mozambique,0.16,397.2271695739086,304.09531555066906,490.35902359714817
Mozambique,0.161,394.75992007344956,302.2065247708513,487.31331537604785
Mozambique,0.162,392.32313044336655,300.34105239572244,484.30520849101066
Mozambique,0.163,389.91624007254836,298.49846925219043,481.3340108929063
Mozambique,0.164,387.5387020233255,296.678356634799,478.39904741185205
Mozambique,0.165,385.1899826171235,294.88030598852754,475.4996592457195
Mozambique,0.166,382.86956103509266,293.1039186030544,472.6352034671309
Mozambique,0.167,380.5769289330861,291.34880531800627,469.8050525481659
Mozambique,0.168,378.3115900703892,289.6145862387325,467.00859390204585
Mozambique,0.169,376.07305995162943,287.9008904621718,464.2452294410871
Mozambique,0.17,373.86086548132573,286.2073558123943,461.51437515025714
Mozambique,0.171,371.67454463055776,284.53362858542135,458.81546067569417
Mozambique,0.17200000000000001,369.51364611526384,282.8793633029479,456.14792892757976
Mozambique,0.17300000000000001,367.3777290856958,281.2442224746071,453.5112356967845
Mozambique,0.17400000000000002,365.2663628265826,279.6278763684313,450.9048492847339
Mozambique,0.17500000000000002,363.1791264675736,278.0300027891831,448.32825014596415
Mozambique,0.17600000000000002,361.1156087035533,276.4502868642446,445.78093054286194
Mozambique,0.17700000000000002,359.0754075244372,274.888420836763,443.2623942121114
Mozambique,0.17800000000000002,357.0581299540751,273.34410386576985,440.7721560423804
Mozambique,0.17900000000000002,355.0633917979072,271.8170418330002,438.30974176281416
Mozambique,0.18000000000000002,353.0908173990299,270.3069471561502,435.8746876419096
Mozambique,0.181,351.1400394023502,268.81353860832627,433.4665401963742
Mozambique,0.182,349.2106985265131,267.3365411434453,431.08485590958094
Mozambique,0.183,347.30244334330814,265.8756857273609,428.72920095925537
Mozambique,0.184,345.4149300642684,264.4307091744948,426.399150954042
Mozambique,0.185,343.54782233419127,263.0013539897678,424.09429067861475
Mozambique,0.186,341.7007910313193,261.5873682156292,421.81421384700934
Mozambique,0.187,339.87351407393254,260.1885052839949,419.55852286387017
Mozambique,0.188,338.0656762331138,258.8045238729098,417.32682859331777
Mozambique,0.189,336.27696895145704,257.43518776776216,415.1187501351519
Mozambique,0.19,334.50709016750204,256.08026572687925,412.93391460812484
Mozambique,0.191,332.7557441456826,254.73953135134576,410.7719569400195
Mozambique,0.192,331.0226413115905,253.41276295889077,408.63251966429027
Mozambique,0.193,329.30749809235954,252.09974346169452,406.51525272302456
Mozambique,0.194,327.6100367619865,250.80026024797448,404.41981327599854
Mozambique,0.195,325.9299852914122,249.51410506721555,402.34586551560886
Mozambique,0.196,324.2670772031907,248.24107391891346,400.29308048746793
Mozambique,0.197,322.6210514305857,246.9809669447058,398.26113591646555
Mozambique,0.198,320.9916521809363,245.7335883237729,396.2497160380997
Mozambique,0.199,319.3786288031426,244.49874617139216,394.258511434893
Mozambique,0.2,317.7817356591269,243.27625244053525,392.2872188777186
